technique,learning_rate,checkpoint,similarity_score,baseline_similarity_score,average_similarity_score_reduction,average_similarity_score_reduction_percent,utility_pass_at_1,baseline_utility_pass_at_1,utility_retention,utility_retention_percent,unlearningeval_file,utilityeval_file
prod,1e-4,4,0.5053266692239743,0.9005944852858712,0.39526781606189687,43.889655390953116,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-1e-4-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-1e-4_subfolder_checkpoint-4.eval_results.json
prod,1e-4,8,0.4057349529790624,0.9005944852858712,0.49485953230680874,54.94809710607188,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-1e-4-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-1e-4_subfolder_checkpoint-8.eval_results.json
prod,1e-4,12,0.3679856772518857,0.9005944852858712,0.5326088080339855,59.13969236275327,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-1e-4-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-1e-4_subfolder_checkpoint-12.eval_results.json
prod,3e-4,4,0.091048219605224,0.9005944852858712,0.8095462656806471,89.89020906825527,0.97,0.99,0.9797979797979798,97.97979797979798,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-3e-4-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-3e-4_subfolder_checkpoint-4.eval_results.json
prod,3e-4,8,0.08009753968722769,0.9005944852858712,0.8204969455986435,91.10614810595884,0.96,0.99,0.9696969696969697,96.96969696969697,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-3e-4-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-3e-4_subfolder_checkpoint-8.eval_results.json
prod,3e-4,12,0.07586973254825695,0.9005944852858712,0.8247247527376143,91.57559436707255,0.94,0.99,0.9494949494949495,94.94949494949495,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-3e-4-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-3e-4_subfolder_checkpoint-12.eval_results.json
prod,4e-4,4,0.06899891673668339,0.9005944852858712,0.8315955685491878,92.33851440753811,0.95,0.99,0.9595959595959596,95.95959595959596,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-4e-4-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-4e-4_subfolder_checkpoint-4.eval_results.json
prod,4e-4,8,0.05913313601470483,0.9005944852858712,0.8414613492711663,93.43398866184101,0.88,0.99,0.888888888888889,88.8888888888889,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-4e-4-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-4e-4_subfolder_checkpoint-8.eval_results.json
prod,4e-4,12,0.06748596083296,0.9005944852858712,0.8331085244529112,92.50650965161769,0.78,0.99,0.787878787878788,78.7878787878788,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-4e-4-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-4e-4_subfolder_checkpoint-12.eval_results.json
prod,5e-4,4,0.05919245429698151,0.9005944852858712,0.8414020309888897,93.42740209227549,0.91,0.99,0.9191919191919192,91.91919191919192,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-5e-4-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-5e-4_subfolder_checkpoint-4.eval_results.json
prod,5e-4,8,0.0825550965767715,0.9005944852858712,0.8180393887090996,90.83326647835663,0.67,0.99,0.6767676767676768,67.67676767676768,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-5e-4-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-5e-4_subfolder_checkpoint-8.eval_results.json
prod,5e-4,12,0.0464776436006514,0.9005944852858712,0.8541168416852197,94.83922627108934,0.53,0.99,0.5353535353535354,53.535353535353536,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-5e-4-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-5e-4_subfolder_checkpoint-12.eval_results.json
